Network,Target
11082279.bnet,Cyclin_E
11082279.bnet,!Cyclin_E
11082279.bnet,p27
11082279.bnet,!p27
11082279.bnet,S_phase_genes
11082279.bnet,!S_phase_genes
11082279.bnet,E2F
11082279.bnet,!E2F
11082279.bnet,X
11082279.bnet,!X
11082279.bnet,Cyclin_D1
11082279.bnet,!Cyclin_D1
11082279.bnet,Erk
11082279.bnet,!Erk
11082279.bnet,Mitosis
11082279.bnet,!Mitosis
1753781.bnet,S
1753781.bnet,!S
1753781.bnet,K
1753781.bnet,!K
1753781.bnet,B
1753781.bnet,!B
1753781.bnet,A
1753781.bnet,!A
1753781.bnet,H
1753781.bnet,!H
1753781.bnet,T2
1753781.bnet,!T2
1753781.bnet,T1
1753781.bnet,!T1
1753781.bnet,TO
1753781.bnet,!TO
18194572.bnet,NF_kB
18194572.bnet,!NF_kB
18194572.bnet,ATF2
18194572.bnet,!ATF2
18194572.bnet,alpha_catenin_beta_catenin_E_cadherin
18194572.bnet,!alpha_catenin_beta_catenin_E_cadherin
18194572.bnet,ELK1
18194572.bnet,!ELK1
18194572.bnet,c_JUN
18194572.bnet,!c_JUN
18194572.bnet,Calpain2
18194572.bnet,!Calpain2
18194572.bnet,Talin
18194572.bnet,!Talin
18194572.bnet,c_Myc
18194572.bnet,!c_Myc
19524598.bnet,FLIP
19524598.bnet,!FLIP
19524598.bnet,NFkB
19524598.bnet,!NFkB
19524598.bnet,T2
19524598.bnet,!T2
19524598.bnet,IAP
19524598.bnet,!IAP
19524598.bnet,A20a
19524598.bnet,!A20a
19524598.bnet,C3a
19524598.bnet,!C3a
19524598.bnet,IkB
19524598.bnet,!IkB
19524598.bnet,CARP
19524598.bnet,!CARP
19622164_TGF_beta1.bnet,TIMP1
19622164_TGF_beta1.bnet,!TIMP1
19622164_TGF_beta1.bnet,COL1A1
19622164_TGF_beta1.bnet,!COL1A1
19622164_TGF_beta1.bnet,MMP9
19622164_TGF_beta1.bnet,!MMP9
19622164_TGF_beta1.bnet,MMP13
19622164_TGF_beta1.bnet,!MMP13
19622164_TGF_beta1.bnet,MMP1
19622164_TGF_beta1.bnet,!MMP1
19622164_TGF_beta1.bnet,MMP3
19622164_TGF_beta1.bnet,!MMP3
19622164_TGF_beta1.bnet,COL1A2
19622164_TGF_beta1.bnet,!COL1A2
19622164_TGF_beta1.bnet,NFKB1
19622164_TGF_beta1.bnet,!NFKB1
20169167.bnet,RpoN
20169167.bnet,!RpoN
20169167.bnet,HrpV
20169167.bnet,!HrpV
20169167.bnet,HrpRS
20169167.bnet,!HrpRS
20169167.bnet,HrpL
20169167.bnet,!HrpL
20169167.bnet,HrpA
20169167.bnet,!HrpA
20169167.bnet,HrpG
20169167.bnet,!HrpG
21450717_model_5_2.bnet,Elongation
21450717_model_5_2.bnet,!Elongation
21450717_model_5_2.bnet,IAA
21450717_model_5_2.bnet,!IAA
21450717_model_5_2.bnet,AuxREs
21450717_model_5_2.bnet,!AuxREs
21450717_model_5_2.bnet,BIN2
21450717_model_5_2.bnet,!BIN2
21450717_model_5_2.bnet,NGA1
21450717_model_5_2.bnet,!NGA1
21450717_model_5_2.bnet,SCFTir1
21450717_model_5_2.bnet,!SCFTir1
21450717_model_5_2.bnet,BZR1
21450717_model_5_2.bnet,!BZR1
21450717_model_5_2.bnet,IAABiosynth
21450717_model_5_2.bnet,!IAABiosynth
21639591.bnet,cAMP
21639591.bnet,!cAMP
21639591.bnet,Ca2plus
21639591.bnet,!Ca2plus
21639591.bnet,IP3R_low
21639591.bnet,!IP3R_low
21639591.bnet,CAM
21639591.bnet,!CAM
21639591.bnet,GB3
21639591.bnet,!GB3
21639591.bnet,TRPC3
21639591.bnet,!TRPC3
21639591.bnet,PLC_beta
21639591.bnet,!PLC_beta
21639591.bnet,PLC_gamma
21639591.bnet,!PLC_gamma
21853041.bnet,CEBPa
21853041.bnet,!CEBPa
21853041.bnet,SCL
21853041.bnet,!SCL
21853041.bnet,EgrNab
21853041.bnet,!EgrNab
21853041.bnet,FOG1
21853041.bnet,!FOG1
21853041.bnet,EKLF
21853041.bnet,!EKLF
21853041.bnet,cJun
21853041.bnet,!cJun
21853041.bnet,GATA2
21853041.bnet,!GATA2
21853041.bnet,GATA1
21853041.bnet,!GATA1
22192526.bnet,PLT
22192526.bnet,!PLT
22192526.bnet,SCR
22192526.bnet,!SCR
22192526.bnet,MGP
22192526.bnet,!MGP
22192526.bnet,JKD
22192526.bnet,!JKD
22192526.bnet,WOX
22192526.bnet,!WOX
22192526.bnet,ARF
22192526.bnet,!ARF
22192526.bnet,IAA
22192526.bnet,!IAA
22448278.bnet,Rv3717
22448278.bnet,!Rv3717
22448278.bnet,Rv1984c
22448278.bnet,!Rv1984c
22448278.bnet,Rv2383c
22448278.bnet,!Rv2383c
22448278.bnet,Rv1711
22448278.bnet,!Rv1711
22448278.bnet,Rv0083
22448278.bnet,!Rv0083
22448278.bnet,Rv2194
22448278.bnet,!Rv2194
22448278.bnet,Rv0192
22448278.bnet,!Rv0192
22448278.bnet,Rv0429c
22448278.bnet,!Rv0429c
23169817_high_dna_damage.bnet,arf
23169817_high_dna_damage.bnet,!arf
23169817_high_dna_damage.bnet,casp
23169817_high_dna_damage.bnet,!casp
23169817_high_dna_damage.bnet,mdmx
23169817_high_dna_damage.bnet,!mdmx
23169817_high_dna_damage.bnet,atm
23169817_high_dna_damage.bnet,!atm
23169817_high_dna_damage.bnet,bcl2
23169817_high_dna_damage.bnet,!bcl2
23169817_high_dna_damage.bnet,pten
23169817_high_dna_damage.bnet,!pten
23169817_high_dna_damage.bnet,wip1
23169817_high_dna_damage.bnet,!wip1
23169817_high_dna_damage.bnet,bax
23169817_high_dna_damage.bnet,!bax
23469179.bnet,P27
23469179.bnet,!P27
23469179.bnet,Cdk4_CyclinD
23469179.bnet,!Cdk4_CyclinD
23469179.bnet,mir_17_92
23469179.bnet,!mir_17_92
23469179.bnet,Cdk2_CyclinE
23469179.bnet,!Cdk2_CyclinE
23469179.bnet,Myc
23469179.bnet,!Myc
23469179.bnet,E2F
23469179.bnet,!E2F
23469179.bnet,Cdc25a
23469179.bnet,!Cdc25a
23469179.bnet,pRb
23469179.bnet,!pRb
23630177_metastatic_melanoma.bnet,HADHB
23630177_metastatic_melanoma.bnet,!HADHB
23630177_metastatic_melanoma.bnet,RET1
23630177_metastatic_melanoma.bnet,!RET1
23630177_metastatic_melanoma.bnet,S100P
23630177_metastatic_melanoma.bnet,!S100P
23630177_metastatic_melanoma.bnet,MMP3
23630177_metastatic_melanoma.bnet,!MMP3
23630177_metastatic_melanoma.bnet,STC2
23630177_metastatic_melanoma.bnet,!STC2
23630177_metastatic_melanoma.bnet,PHOC
23630177_metastatic_melanoma.bnet,!PHOC
23630177_metastatic_melanoma.bnet,synuclein
23630177_metastatic_melanoma.bnet,!synuclein
23630177_metastatic_melanoma.bnet,pirin
23630177_metastatic_melanoma.bnet,!pirin
23658556_model_10.bnet,miRNA165
23658556_model_10.bnet,!miRNA165
23658556_model_10.bnet,PYI5
23658556_model_10.bnet,!PYI5
23658556_model_10.bnet,ACR
23658556_model_10.bnet,!ACR
23658556_model_10.bnet,IAA5
23658556_model_10.bnet,!IAA5
23658556_model_10.bnet,SYS
23658556_model_10.bnet,!SYS
23658556_model_10.bnet,PHB
23658556_model_10.bnet,!PHB
23658556_model_10.bnet,MGP
23658556_model_10.bnet,!MGP
23658556_model_10.bnet,CYA
23658556_model_10.bnet,!CYA
23764028.bnet,ERK
23764028.bnet,!ERK
23764028.bnet,AsNOS
23764028.bnet,!AsNOS
23764028.bnet,RNS
23764028.bnet,!RNS
23935937.bnet,BMI
23935937.bnet,!BMI
23935937.bnet,CELL_PROLIFERATION
23935937.bnet,!CELL_PROLIFERATION
23935937.bnet,CMYC
23935937.bnet,!CMYC
23935937.bnet,CTNNB_TCF4
23935937.bnet,!CTNNB_TCF4
23935937.bnet,NOTCH_SIGNAL
23935937.bnet,!NOTCH_SIGNAL
23935937.bnet,PDGFRA
23935937.bnet,!PDGFRA
23935937.bnet,GLI3_ACTIVE
23935937.bnet,!GLI3_ACTIVE
23935937.bnet,CELLCYCLE_PROGRESSION
23935937.bnet,!CELLCYCLE_PROGRESSION
24069138_threshold.bnet,Cdc2_Tyr15
24069138_threshold.bnet,!Cdc2_Tyr15
24069138_threshold.bnet,Cdc2_Cdc13
24069138_threshold.bnet,!Cdc2_Cdc13
24069138_threshold.bnet,Cig1_Cdc2
24069138_threshold.bnet,!Cig1_Cdc2
24069138_threshold.bnet,Rum1
24069138_threshold.bnet,!Rum1
24069138_threshold.bnet,Ste9
24069138_threshold.bnet,!Ste9
24069138_threshold.bnet,Cdc25
24069138_threshold.bnet,!Cdc25
24069138_threshold.bnet,Wee1
24069138_threshold.bnet,!Wee1
24069138_threshold.bnet,Cig2_Cdc2
24069138_threshold.bnet,!Cig2_Cdc2
24079299.bnet,TSSS
24079299.bnet,!TSSS
24079299.bnet,SPI_1
24079299.bnet,!SPI_1
24079299.bnet,SPI_2
24079299.bnet,!SPI_2
24079299.bnet,CsrBC
24079299.bnet,!CsrBC
24079299.bnet,EnvZ
24079299.bnet,!EnvZ
24079299.bnet,RcsB
24079299.bnet,!RcsB
24079299.bnet,SciS
24079299.bnet,!SciS
24079299.bnet,YfhA
24079299.bnet,!YfhA
24376455.bnet,HADHB
24376455.bnet,!HADHB
24376455.bnet,SNCA
24376455.bnet,!SNCA
24376455.bnet,STC2
24376455.bnet,!STC2
24376455.bnet,RET1
24376455.bnet,!RET1
24376455.bnet,S100P
24376455.bnet,!S100P
24376455.bnet,WNT5A
24376455.bnet,!WNT5A
24376455.bnet,MMP3
24376455.bnet,!MMP3
24376455.bnet,PLCG1
24376455.bnet,!PLCG1
24564942_threshold.bnet,fzr_1
24564942_threshold.bnet,!fzr_1
24564942_threshold.bnet,cdk1_cyclinB
24564942_threshold.bnet,!cdk1_cyclinB
24564942_threshold.bnet,lin_35_efl_1_dpl_1
24564942_threshold.bnet,!lin_35_efl_1_dpl_1
24564942_threshold.bnet,cki1
24564942_threshold.bnet,!cki1
24564942_threshold.bnet,cdk2_cyclinE
24564942_threshold.bnet,!cdk2_cyclinE
24564942_threshold.bnet,cul1_lin23
24564942_threshold.bnet,!cul1_lin23
24564942_threshold.bnet,cdc_25_1
24564942_threshold.bnet,!cdc_25_1
24564942_threshold.bnet,cdc14_fzy1
24564942_threshold.bnet,!cdc14_fzy1
25063553_OR_OR.bnet,pepck_c
25063553_OR_OR.bnet,!pepck_c
25063553_OR_OR.bnet,g6pc
25063553_OR_OR.bnet,!g6pc
25063553_OR_OR.bnet,lgk
25063553_OR_OR.bnet,!lgk
25063553_OR_OR.bnet,pdhc
25063553_OR_OR.bnet,!pdhc
25063553_OR_OR.bnet,gys2
25063553_OR_OR.bnet,!gys2
25063553_OR_OR.bnet,pygl
25063553_OR_OR.bnet,!pygl
25063553_OR_OR.bnet,lpk
25063553_OR_OR.bnet,!lpk
25063553_OR_OR.bnet,pfk2
25063553_OR_OR.bnet,!pfk2
25163068.bnet,rhlREG
25163068.bnet,!rhlREG
25163068.bnet,pqsRREG
25163068.bnet,!pqsRREG
25163068.bnet,lasREG
25163068.bnet,!lasREG
25163068.bnet,lasl
25163068.bnet,!lasl
25163068.bnet,lasR
25163068.bnet,!lasR
25163068.bnet,pqsA_E
25163068.bnet,!pqsA_E
25163068.bnet,pqsH
25163068.bnet,!pqsH
25163068.bnet,pqsR
25163068.bnet,!pqsR
25189528.bnet,DSH
25189528.bnet,!DSH
25189528.bnet,cMet
25189528.bnet,!cMet
25189528.bnet,FGFR
25189528.bnet,!FGFR
25189528.bnet,FUS
25189528.bnet,!FUS
25189528.bnet,Csl
25189528.bnet,!Csl
25189528.bnet,SRC
25189528.bnet,!SRC
25189528.bnet,SNAI1
25189528.bnet,!SNAI1
25189528.bnet,FOXC2
25189528.bnet,!FOXC2
25780058.bnet,ARHGAP22
25780058.bnet,!ARHGAP22
25780058.bnet,Trio
25780058.bnet,!Trio
25780058.bnet,Cdc42
25780058.bnet,!Cdc42
25780058.bnet,PTEN
25780058.bnet,!PTEN
25780058.bnet,Shc
25780058.bnet,!Shc
25780058.bnet,RhoGDI
25780058.bnet,!RhoGDI
25780058.bnet,RhoGAP1
25780058.bnet,!RhoGAP1
25780058.bnet,FAK
25780058.bnet,!FAK
25967891.bnet,FUL
25967891.bnet,!FUL
25967891.bnet,FT
25967891.bnet,!FT
25967891.bnet,EMF1
25967891.bnet,!EMF1
25967891.bnet,AG
25967891.bnet,!AG
25967891.bnet,SEP
25967891.bnet,!SEP
25967891.bnet,LFY
25967891.bnet,!LFY
25967891.bnet,PI
25967891.bnet,!PI
25967891.bnet,WUS
25967891.bnet,!WUS
25980672.bnet,Bcl_2_K
25980672.bnet,!Bcl_2_K
25980672.bnet,Bcl_2_M
25980672.bnet,!Bcl_2_M
25980672.bnet,MSK_M
25980672.bnet,!MSK_M
25980672.bnet,p38_K
25980672.bnet,!p38_K
25980672.bnet,PGE2_K
25980672.bnet,!PGE2_K
25980672.bnet,GSK3b_K
25980672.bnet,!GSK3b_K
25980672.bnet,Akt_M
25980672.bnet,!Akt_M
25980672.bnet,Akt_K
25980672.bnet,!Akt_K
26346668.bnet,Migration
26346668.bnet,!Migration
26346668.bnet,Apoptosis
26346668.bnet,!Apoptosis
26346668.bnet,Proliferation
26346668.bnet,!Proliferation
26346668.bnet,Integrin
26346668.bnet,!Integrin
26346668.bnet,PKC
26346668.bnet,!PKC
26346668.bnet,Grb_2_Sos
26346668.bnet,!Grb_2_Sos
26346668.bnet,ASK1
26346668.bnet,!ASK1
26346668.bnet,Akt
26346668.bnet,!Akt
26564978.bnet,CYCLIN_D2
26564978.bnet,!CYCLIN_D2
26564978.bnet,CYCLIN_A
26564978.bnet,!CYCLIN_A
26564978.bnet,CDK_4
26564978.bnet,!CDK_4
26564978.bnet,IL8
26564978.bnet,!IL8
26564978.bnet,FASL
26564978.bnet,!FASL
26564978.bnet,CCL19
26564978.bnet,!CCL19
26564978.bnet,P70
26564978.bnet,!P70
26564978.bnet,WASP
26564978.bnet,!WASP
26660865.bnet,IL4_SHORT_T
26660865.bnet,!IL4_SHORT_T
26660865.bnet,SHP1_plus_GRB2_plus_SOS_T
26660865.bnet,!SHP1_plus_GRB2_plus_SOS_T
26660865.bnet,IL13_T
26660865.bnet,!IL13_T
26660865.bnet,CYCLIN_D1_T
26660865.bnet,!CYCLIN_D1_T
26660865.bnet,NCK_plus_SOS_T
26660865.bnet,!NCK_plus_SOS_T
26660865.bnet,MLK2_T
26660865.bnet,!MLK2_T
26660865.bnet,P70_T
26660865.bnet,!P70_T
26660865.bnet,CYCLIN_A_T
26660865.bnet,!CYCLIN_A_T
27138333.bnet,P90rsk
27138333.bnet,!P90rsk
27138333.bnet,Rap1a
27138333.bnet,!Rap1a
27138333.bnet,Gab1
27138333.bnet,!Gab1
27138333.bnet,Sos1
27138333.bnet,!Sos1
27138333.bnet,Pip3
27138333.bnet,!Pip3
27138333.bnet,Ras
27138333.bnet,!Ras
27138333.bnet,RalbP1
27138333.bnet,!RalbP1
27138333.bnet,Akt
27138333.bnet,!Akt
27464342_curated_model.bnet,IL1rn_NFkB
27464342_curated_model.bnet,!IL1rn_NFkB
27464342_curated_model.bnet,PKC
27464342_curated_model.bnet,!PKC
27464342_curated_model.bnet,Socs2
27464342_curated_model.bnet,!Socs2
27464342_curated_model.bnet,TNFa
27464342_curated_model.bnet,!TNFa
27464342_curated_model.bnet,IRS_1_2
27464342_curated_model.bnet,!IRS_1_2
27464342_curated_model.bnet,Mrc1
27464342_curated_model.bnet,!Mrc1
27464342_curated_model.bnet,IL10syn_Stat3
27464342_curated_model.bnet,!IL10syn_Stat3
27464342_curated_model.bnet,IL1b_syn
27464342_curated_model.bnet,!IL1b_syn
27613445.bnet,G1_S
27613445.bnet,!G1_S
27613445.bnet,Senescence
27613445.bnet,!Senescence
27613445.bnet,mTORC1_S6K1
27613445.bnet,!mTORC1_S6K1
27613445.bnet,p21
27613445.bnet,!p21
27613445.bnet,MYC
27613445.bnet,!MYC
27613445.bnet,AMPK
27613445.bnet,!AMPK
27613445.bnet,IRS_PIK3CA
27613445.bnet,!IRS_PIK3CA
27613445.bnet,CDK2
27613445.bnet,!CDK2
28187161.bnet,WOX4
28187161.bnet,!WOX4
28187161.bnet,HB8
28187161.bnet,!HB8
28187161.bnet,ENDO
28187161.bnet,!ENDO
28187161.bnet,CK
28187161.bnet,!CK
28187161.bnet,IAA
28187161.bnet,!IAA
28187161.bnet,RRA
28187161.bnet,!RRA
28187161.bnet,ERF
28187161.bnet,!ERF
28187161.bnet,WRKY
28187161.bnet,!WRKY
28209158.bnet,Cyclin
28209158.bnet,!Cyclin
28209158.bnet,E2F
28209158.bnet,!E2F
28209158.bnet,Rb
28209158.bnet,!Rb
28209158.bnet,p53
28209158.bnet,!p53
28209158.bnet,Snai2
28209158.bnet,!Snai2
28209158.bnet,p16
28209158.bnet,!p16
28209158.bnet,NFkB
28209158.bnet,!NFkB
28209158.bnet,ESE2
28209158.bnet,!ESE2
28381275.bnet,PP2A
28381275.bnet,!PP2A
28381275.bnet,ARF
28381275.bnet,!ARF
28381275.bnet,CyclinD
28381275.bnet,!CyclinD
28381275.bnet,PAK
28381275.bnet,!PAK
28381275.bnet,E2F1
28381275.bnet,!E2F1
28381275.bnet,Bcl_2
28381275.bnet,!Bcl_2
28381275.bnet,beta_catenin
28381275.bnet,!beta_catenin
28381275.bnet,MMP
28381275.bnet,!MMP
28426669_ARF10_greater_ARF5.bnet,MGP
28426669_ARF10_greater_ARF5.bnet,!MGP
28426669_ARF10_greater_ARF5.bnet,CLE40
28426669_ARF10_greater_ARF5.bnet,!CLE40
28426669_ARF10_greater_ARF5.bnet,WOX5
28426669_ARF10_greater_ARF5.bnet,!WOX5
28426669_ARF10_greater_ARF5.bnet,SCR
28426669_ARF10_greater_ARF5.bnet,!SCR
28426669_ARF10_greater_ARF5.bnet,ARF5
28426669_ARF10_greater_ARF5.bnet,!ARF5
28426669_ARF10_greater_ARF5.bnet,ARF10
28426669_ARF10_greater_ARF5.bnet,!ARF10
28426669_ARF10_greater_ARF5.bnet,AUXIAA
28426669_ARF10_greater_ARF5.bnet,!AUXIAA
28426669_ARF10_greater_ARF5.bnet,ARF
28426669_ARF10_greater_ARF5.bnet,!ARF
28455685.bnet,Erk1_2
28455685.bnet,!Erk1_2
28455685.bnet,AKT_S473
28455685.bnet,!AKT_S473
28455685.bnet,mTORC1
28455685.bnet,!mTORC1
28455685.bnet,RAF
28455685.bnet,!RAF
28455685.bnet,AKT_T308
28455685.bnet,!AKT_T308
28455685.bnet,PIP3
28455685.bnet,!PIP3
28455685.bnet,PI3K
28455685.bnet,!PI3K
28455685.bnet,RAS_GTP
28455685.bnet,!RAS_GTP
29186334.bnet,mccpa
29186334.bnet,!mccpa
29186334.bnet,mmcp6
29186334.bnet,!mmcp6
29186334.bnet,mbp
29186334.bnet,!mbp
29186334.bnet,ccr3
29186334.bnet,!ccr3
29186334.bnet,lf
29186334.bnet,!lf
29186334.bnet,fceRIb
29186334.bnet,!fceRIb
29186334.bnet,mpo
29186334.bnet,!mpo
29186334.bnet,ne
29186334.bnet,!ne
29230182.bnet,JAGa
29230182.bnet,!JAGa
29230182.bnet,Axin2
29230182.bnet,!Axin2
29230182.bnet,DLL4a
29230182.bnet,!DLL4a
