Network,Target,Controllers,Errors,Minutes
./input/networks/large/19524598.bnet,CARP,"[['NFkBnuc', '!TNF'], ['IAP', '!TNF'], ['CARP', '!TNF'], ['!IkB', '!TNF'], ['!C3a', '!TNF'], ['!C8a', '!TNF']]","[0.0, 0.0, 0.0, 0.006000000000000005, 0.0, 0.0]",0.03416
./input/networks/large/19524598.bnet,!CARP,"[['IkB', 'TNF'], ['C3a', 'TNF'], ['C3a', '!TNF'], ['TNF', '!NFkB'], ['TNF', '!NFkBnuc']]","[0.254935, 0.253244, 0.965, 0.291464, 0.25788]",0.00019
./input/networks/large/19524598.bnet,C8a,"[['IkB', 'TNF'], ['C3a', 'TNF'], ['C3a', '!TNF'], ['TNF', '!NFkB'], ['TNF', '!NFkBnuc']]","[0.409836, 0.43651299999999993, 0.948, 0.511358, 0.427886]",0.00019
./input/networks/large/19524598.bnet,!C8a,"[['NFkBnuc', '!TNF'], ['IAP', '!TNF'], ['CARP', '!TNF'], ['!IkB', '!TNF'], ['!C3a', '!TNF'], ['!C8a', '!TNF']]","[0.0, 0.0, 0.0, 0.013, 0.0, 0.0]",0.0002
./input/networks/large/19524598.bnet,T2,[[]],NA,0.00028
./input/networks/large/19524598.bnet,!T2,[['!TNF']],[0.0],0.00029
./input/networks/large/19524598.bnet,NFkB,[[]],NA,0.0003
./input/networks/large/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.00017
./input/networks/large/21639591.bnet,HOMER,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00086
./input/networks/large/21639591.bnet,!HOMER,[[]],NA,0.00099
./input/networks/large/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00076
./input/networks/large/21639591.bnet,!ATP_cyt,[[]],NA,0.00097
./input/networks/large/21639591.bnet,CaBP1,[[]],NA,0.00094
./input/networks/large/21639591.bnet,!CaBP1,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00086
./input/networks/large/21639591.bnet,DAG,"[['PIP2', 'Serotonin']]",[0.0],0.00092
./input/networks/large/21639591.bnet,!DAG,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00078
./input/networks/large/23169817_high_dna_damage.bnet,pten,[[]],NA,0.00147
./input/networks/large/23169817_high_dna_damage.bnet,!pten,[[]],NA,0.00141
./input/networks/large/23169817_high_dna_damage.bnet,arf,[[]],NA,0.00128
./input/networks/large/23169817_high_dna_damage.bnet,!arf,[[]],NA,0.00173
./input/networks/large/23169817_high_dna_damage.bnet,bcl2,[[]],NA,0.00074
./input/networks/large/23169817_high_dna_damage.bnet,!bcl2,[[]],NA,0.00094
./input/networks/large/23169817_high_dna_damage.bnet,e2f1,[[]],NA,0.00079
./input/networks/large/23169817_high_dna_damage.bnet,!e2f1,[[]],NA,0.00074
./input/networks/large/23658556_model_10.bnet,IAA5,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.00026
./input/networks/large/23658556_model_10.bnet,!IAA5,"[['miRNA165', 'Auxin'], ['Auxin', 'CLE'], ['Auxin', 'SYS'], ['Auxin', 'CYA'], ['Auxin', '!SHR']]","[0.494, 0.666, 0.615, 0.62, 0.694]",0.00026
./input/networks/large/23658556_model_10.bnet,ACR,"[['Auxin', 'CLE'], ['Auxin', 'CYA'], ['Auxin', '!SHR']]","[0.6739999999999999, 0.609, 0.6970000000000001]",0.00031
./input/networks/large/23658556_model_10.bnet,!ACR,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.00023
