Network,Target,Controllers,Errors,Minutes
./input/networks/large/19524598.bnet,CARP,[['!TNF']],[0.016000000000000014],0.00493
./input/networks/large/19524598.bnet,!CARP,[],NA,0.05826
./input/networks/large/19524598.bnet,C8a,[],NA,0.05642
./input/networks/large/19524598.bnet,!C8a,[['!TNF']],[0.014],0.00466
./input/networks/large/19524598.bnet,T2,[],NA,0.05773
./input/networks/large/19524598.bnet,!T2,[['!TNF']],[0.0],0.00419
./input/networks/large/19524598.bnet,NFkB,[],NA,0.05604
./input/networks/large/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.00382
./input/networks/large/21639591.bnet,HOMER,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00724
./input/networks/large/21639591.bnet,!HOMER,[],NA,0.15681
./input/networks/large/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00705
./input/networks/large/21639591.bnet,!ATP_cyt,[],NA,0.16576
./input/networks/large/21639591.bnet,CaBP1,[['0']],NA,0.00396
./input/networks/large/21639591.bnet,!CaBP1,[['1']],[0.0],0.00187
./input/networks/large/21639591.bnet,DAG,"[['PIP2', 'Serotonin']]",[0.0],0.16074
./input/networks/large/21639591.bnet,!DAG,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00733
./input/networks/large/23169817_high_dna_damage.bnet,pten,[],NA,2.20418
./input/networks/large/23169817_high_dna_damage.bnet,!pten,[],NA,2.09644
./input/networks/large/23169817_high_dna_damage.bnet,arf,[],NA,2.02701
./input/networks/large/23169817_high_dna_damage.bnet,!arf,[],NA,2.0334
./input/networks/large/23169817_high_dna_damage.bnet,bcl2,[],NA,0.66542
./input/networks/large/23169817_high_dna_damage.bnet,!bcl2,[],NA,0.6411
./input/networks/large/23169817_high_dna_damage.bnet,e2f1,[],NA,0.68898
./input/networks/large/23169817_high_dna_damage.bnet,!e2f1,[],NA,0.70125
./input/networks/large/23658556_model_10.bnet,IAA5,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.01257
./input/networks/large/23658556_model_10.bnet,!IAA5,[],NA,0.19928
./input/networks/large/23658556_model_10.bnet,ACR,[],NA,0.21207
./input/networks/large/23658556_model_10.bnet,!ACR,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.01191
./input/networks/large/23658556_model_10.bnet,JKD,[],NA,0.19271
./input/networks/large/23658556_model_10.bnet,!JKD,[],NA,0.20008
./input/networks/large/23658556_model_10.bnet,Auxin,[],NA,0.21726
./input/networks/large/23658556_model_10.bnet,!Auxin,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.01176
./input/networks/large/23935937.bnet,CMYC,[['0']],NA,0.00713
./input/networks/large/23935937.bnet,!CMYC,[['1']],[0.0175],0.00448
./input/networks/large/23935937.bnet,EMT,[['0']],NA,0.0054
./input/networks/large/23935937.bnet,!EMT,[['1']],[0.0165],0.00474
./input/networks/large/23935937.bnet,NOTCH_SIGNAL,[['0']],NA,0.00588
./input/networks/large/23935937.bnet,!NOTCH_SIGNAL,[['1']],[0.0165],0.00469
./input/networks/large/23935937.bnet,WNT_SIGNAL,[['0']],NA,0.00597
./input/networks/large/23935937.bnet,!WNT_SIGNAL,[['1']],[0.0],0.00536
./input/networks/large/25063553_OR_OR.bnet,pfk2,[],NA,1.27993
./input/networks/large/25063553_OR_OR.bnet,!pfk2,[['!x5p']],[0.0],0.01977
./input/networks/large/25063553_OR_OR.bnet,lgk,"[['ins', '!basal_act'], ['basal_act', '!gcg']]","[0.02749999999999997, 0.0]",1.26798
./input/networks/large/25063553_OR_OR.bnet,!lgk,[],NA,1.25006
./input/networks/large/25063553_OR_OR.bnet,pepck_c,[],NA,1.26835
./input/networks/large/25063553_OR_OR.bnet,!pepck_c,"[['ins', '!basal_act'], ['!ins', '!gcg']]","[0.019625, 0.0]",1.2291
./input/networks/large/25063553_OR_OR.bnet,fbp2,[],NA,1.3206
./input/networks/large/25063553_OR_OR.bnet,!fbp2,"[['x5p'], ['!gcg']]","[0.0, 0.0]",0.0198
./input/networks/large/25189528.bnet,NOTCH,[['1']],[0.0],0.0035
./input/networks/large/25189528.bnet,!NOTCH,[['0']],NA,0.00425
./input/networks/large/25189528.bnet,cMet,[['1']],[0.0],0.00358
./input/networks/large/25189528.bnet,!cMet,[['0']],NA,0.00442
./input/networks/large/25189528.bnet,EGFR,[['EGF']],[0.0],0.02097
./input/networks/large/25189528.bnet,!EGFR,[['!EGF']],[0.0],0.01652
./input/networks/large/25189528.bnet,SNAI2,[['1']],[0.0],0.00525
./input/networks/large/25189528.bnet,!SNAI2,[['0']],NA,0.00416
./input/networks/large/25780058.bnet,ROCK,[],NA,0.31198
./input/networks/large/25780058.bnet,!ROCK,[['!EGF']],[0.0745],0.01636
./input/networks/large/25780058.bnet,PTP_EGFR,[],NA,0.3157
./input/networks/large/25780058.bnet,!PTP_EGFR,[['!EGF']],[0.0],0.01265
./input/networks/large/25780058.bnet,Raf,[],NA,0.39375
./input/networks/large/25780058.bnet,!Raf,[['!EGF']],[0.0],0.01266
./input/networks/large/25780058.bnet,p190RhoGEF,[],NA,0.37357
./input/networks/large/25780058.bnet,!p190RhoGEF,[['!EGF']],[0.0785],0.0136
./input/networks/large/25967891.bnet,FUL,[['1']],[0.253],0.00276
./input/networks/large/25967891.bnet,!FUL,[['0']],NA,0.00264
./input/networks/large/25967891.bnet,TFL1,[['0']],NA,0.00339
./input/networks/large/25967891.bnet,!TFL1,[['1']],[0.047],0.00405
./input/networks/large/25967891.bnet,FT,[['1']],[0.05400000000000005],0.00264
./input/networks/large/25967891.bnet,!FT,[['0']],NA,0.00293
./input/networks/large/25967891.bnet,AP2,[['1']],[0.062000000000000055],0.00276
./input/networks/large/25967891.bnet,!AP2,[['0']],NA,0.00269
./input/networks/large/25980672.bnet,Bcl_2_K,[['!UVB']],[0.0],0.06262
./input/networks/large/25980672.bnet,!Bcl_2_K,[],NA,3.28582
./input/networks/large/25980672.bnet,Bcl_2_M,[],NA,3.14453
./input/networks/large/25980672.bnet,!Bcl_2_M,[['!UVB']],[0.0],0.0506
./input/networks/large/25980672.bnet,JNK_K,[],NA,3.2793
./input/networks/large/25980672.bnet,!JNK_K,[['!UVB']],[0.0],0.05346
./input/networks/large/25980672.bnet,EGFR_K,[],NA,3.21488
./input/networks/large/25980672.bnet,!EGFR_K,[['!UVB']],[0.0],0.0572
./input/networks/large/26564978.bnet,P15,[['1']],[0.05741900000000011],0.00699
./input/networks/large/26564978.bnet,!P15,[['0']],NA,0.01079
./input/networks/large/26564978.bnet,CDK_4,[['1']],[0.04095199999999999],0.00763
./input/networks/large/26564978.bnet,!CDK_4,[['0']],NA,0.01128
./input/networks/large/26564978.bnet,P53,[['!MKP']],[0.0],0.0981
./input/networks/large/26564978.bnet,!P53,[['MKP']],[0.0],0.10061
./input/networks/large/26564978.bnet,STAT3,[['1']],[0.0],0.00751
./input/networks/large/26564978.bnet,!STAT3,[['0']],NA,0.00947
./input/networks/large/26660865.bnet,IL6_DELTA4_T,[['!FACTOR14']],[0.0],1.09404
./input/networks/large/26660865.bnet,!IL6_DELTA4_T,[],NA,1.10728
./input/networks/large/26660865.bnet,CYCLIN_E_T,[['1']],[0.0],0.01904
./input/networks/large/26660865.bnet,!CYCLIN_E_T,[['0']],NA,0.01901
./input/networks/large/26660865.bnet,STAT1_T,[['1']],[0.0],0.02309
./input/networks/large/26660865.bnet,!STAT1_T,[['0']],NA,0.01925
./input/networks/large/26660865.bnet,PDGF_T,"[['!FACTOR2'], ['!FACTOR1']]","[0.0, 0.0]",1.0992
./input/networks/large/26660865.bnet,!PDGF_T,[],NA,1.0986
./input/networks/large/27138333.bnet,P90rsk,[['Pdk1']],[0.0004999999999999449],0.00985
./input/networks/large/27138333.bnet,!P90rsk,[['!Pdk1']],[0.0],0.00929
./input/networks/large/27138333.bnet,Rap1a,"[['EGF', '!p90rsk']]",[0.0],0.38339
./input/networks/large/27138333.bnet,!Rap1a,"[['!EGF'], ['p90rsk']]","[0.0, 0.0]",0.00775
./input/networks/large/27138333.bnet,Pip3,[],NA,0.37332
./input/networks/large/27138333.bnet,!Pip3,"[['!EGF'], ['Ship2'], ['!Pip2'], ['Pten']]","[0.117657, 0.0, 0.0, 0.0]",0.0082
./input/networks/large/27138333.bnet,RalbP1,[['Rap1A']],[0.0],0.00896
./input/networks/large/27138333.bnet,!RalbP1,[['!Rap1A']],[0.0],0.00858
./input/networks/large/27464342_curated_model.bnet,p90Rsk_il,[['IRS1_2']],[0.0],0.04623
./input/networks/large/27464342_curated_model.bnet,!p90Rsk_il,[],NA,0.04869
./input/networks/large/27464342_curated_model.bnet,IL6_syn,[['0']],NA,0.00301
./input/networks/large/27464342_curated_model.bnet,!IL6_syn,[['1']],[0.0007949999999999999],0.00297
./input/networks/large/27464342_curated_model.bnet,Ccl5_Stat1,[],NA,0.04309
./input/networks/large/27464342_curated_model.bnet,!Ccl5_Stat1,"[['!hk'], ['!LPS'], ['!hk_medium']]","[0.0, 0.0, 0.003978000000000001]",0.03951
./input/networks/large/27464342_curated_model.bnet,PKC,[['IRS1_2']],[0.0],0.04201
./input/networks/large/27464342_curated_model.bnet,!PKC,[],NA,0.0444
./input/networks/large/27613445.bnet,G1_S,[['0']],NA,0.00149
./input/networks/large/27613445.bnet,!G1_S,[['1']],[0.0],0.00129
./input/networks/large/27613445.bnet,Senescence,[],NA,0.79099
./input/networks/large/27613445.bnet,!Senescence,[],NA,0.79219
./input/networks/large/27613445.bnet,IRS_PIK3CA,[['Insulin']],[0.0],0.0278
./input/networks/large/27613445.bnet,!IRS_PIK3CA,[['!Insulin']],[0.0],0.03465
./input/networks/large/27613445.bnet,p21,[],NA,0.77609
./input/networks/large/27613445.bnet,!p21,[],NA,0.88003
./input/networks/large/28187161.bnet,HB8,[],NA,0.56232
./input/networks/large/28187161.bnet,!HB8,[['!BR']],[0.0],0.01586
./input/networks/large/28187161.bnet,WOX4,[],NA,0.59796
./input/networks/large/28187161.bnet,!WOX4,"[['!ETHL', '!TDIF']]",[0.0],0.60292
./input/networks/large/28187161.bnet,DELLA,"[['!GA', '!IAA0']]",[0.0],0.5686
./input/networks/large/28187161.bnet,!DELLA,[['GA']],[0.0],0.01615
