Network,Target,Controllers,Errors,Minutes
./input/networks/large/19524598.bnet,CARP,"[['!C3a', '!TNF'], ['!C8a', '!TNF'], ['!TNF', 'CARP'], ['!TNF', 'IAP'], ['!TNF', 'NFkBnuc']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.09005
./input/networks/large/19524598.bnet,!CARP,"[['!FLIP', '!NFkBnuc', 'IkB', 'TNF']]",[0.0],0.04557
./input/networks/large/19524598.bnet,C8a,"[['!FLIP', '!NFkBnuc', 'IkB', 'TNF']]",[0.0],0.03762
./input/networks/large/19524598.bnet,!C8a,"[['!C3a', '!TNF'], ['!C8a', '!TNF'], ['!TNF', 'CARP'], ['!TNF', 'IAP'], ['!TNF', 'NFkBnuc']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.06518
./input/networks/large/19524598.bnet,T2,[['0']],NA,0.20329
./input/networks/large/19524598.bnet,!T2,[['!TNF']],[0.0],0.12619
./input/networks/large/19524598.bnet,NFkB,[['0']],NA,0.16067
./input/networks/large/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.10486
./input/networks/large/21639591.bnet,HOMER,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.07611
./input/networks/large/21639591.bnet,!HOMER,[['0']],NA,0.13982
./input/networks/large/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.19589
./input/networks/large/21639591.bnet,!ATP_cyt,[['0']],NA,0.19006
./input/networks/large/21639591.bnet,CaBP1,[['0']],NA,0.15324
./input/networks/large/21639591.bnet,!CaBP1,[['1']],[0.0],0.03131
./input/networks/large/21639591.bnet,DAG,"[['PIP2', 'Serotonin']]",[0.0],0.00324
./input/networks/large/21639591.bnet,!DAG,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00299
./input/networks/large/23169817_high_dna_damage.bnet,pten,[['0']],NA,39.85493
./input/networks/large/23169817_high_dna_damage.bnet,!pten,[['0']],NA,46.20783
./input/networks/large/23169817_high_dna_damage.bnet,arf,[['0']],NA,32.1771
./input/networks/large/23169817_high_dna_damage.bnet,!arf,[['0']],NA,24.04038
./input/networks/large/23169817_high_dna_damage.bnet,bcl2,[['0']],NA,43.44812
./input/networks/large/23169817_high_dna_damage.bnet,!bcl2,[['0']],NA,26.95883
./input/networks/large/23169817_high_dna_damage.bnet,e2f1,[['0']],NA,21.34289
./input/networks/large/23169817_high_dna_damage.bnet,!e2f1,[['0']],NA,25.47071
./input/networks/large/23658556_model_10.bnet,IAA5,"[['!Auxin'], ['PHB']]","[0.0, 0.0]",0.00359
./input/networks/large/23658556_model_10.bnet,!IAA5,"[['!PHB', 'Auxin', 'miRNA165']]",[0.0],0.00274
./input/networks/large/23658556_model_10.bnet,ACR,"[['!PHB', '!SHR', 'Auxin', 'miRNA165'], ['!PHB', 'Auxin', 'CYA', 'SYS'], ['!PHB', 'Auxin', 'CYA', 'miRNA165']]","[0.0, 0.0, 0.0]",0.00647
./input/networks/large/23658556_model_10.bnet,!ACR,"[['!Auxin'], ['PHB']]","[0.0, 0.0]",0.00612
./input/networks/large/23658556_model_10.bnet,JKD,"[['!CLE', '!CYA', 'SHR', 'SYS'], ['!CLE', 'PHB', 'SHR', 'SYS']]","[0.0, 0.0]",0.64426
./input/networks/large/23658556_model_10.bnet,!JKD,"[['!PHB', '!SHR', 'Auxin', 'miRNA165'], ['!PHB', 'Auxin', 'CYA', 'SYS'], ['!PHB', 'Auxin', 'CYA', 'miRNA165']]","[0.0, 0.0, 0.0]",0.36898
./input/networks/large/23658556_model_10.bnet,Auxin,"[['!PHB', 'Auxin', 'miRNA165']]",[0.0],0.0026
./input/networks/large/23658556_model_10.bnet,!Auxin,"[['!Auxin'], ['PHB']]","[0.0, 0.0]",0.00353
./input/networks/large/23935937.bnet,CMYC,[['0']],NA,0.03245
./input/networks/large/23935937.bnet,!CMYC,"[['!DYRK1'], ['!NUC_STK36'], ['ITCH'], ['NUC_SUFU'], ['NUMB']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.03216
./input/networks/large/23935937.bnet,EMT,"[['!CKI_A', '!GSK3', '!HDAC', '!ITCH', '!NCOR', '!NUC_SUFU', '!NUMB', '!PKA_A', '!SNO', '!SUFU', 'DYRK1', 'GLI3_A']]",[0.605],0.02962
./input/networks/large/23935937.bnet,!EMT,"[['!DYRK1'], ['!NUC_STK36'], ['ITCH'], ['NUC_SUFU'], ['NUMB']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.03307
