Network,Target,Controllers,Errors,Minutes
./input/networks/large11SCC/19524598.bnet,CARP,"[['NFkBnuc', '!TNF'], ['IAP', '!TNF'], ['CARP', '!TNF'], ['!IkB', '!TNF'], ['!C3a', '!TNF'], ['!C8a', '!TNF']]","[0.0, 0.0, 0.0, 0.01100000000000001, 0.0, 0.0]",0.04046
./input/networks/large11SCC/19524598.bnet,!CARP,"[['IkB', 'TNF'], ['C3a', 'TNF'], ['C3a', '!TNF'], ['TNF', '!NFkB'], ['TNF', '!NFkBnuc']]","[0.25792899999999996, 0.266964, 0.958, 0.288458, 0.263036]",0.00022
./input/networks/large11SCC/19524598.bnet,C8a,"[['IkB', 'TNF'], ['C3a', 'TNF'], ['C3a', '!TNF'], ['TNF', '!NFkB'], ['TNF', '!NFkBnuc']]","[0.44553600000000004, 0.442952, 0.971, 0.490661, 0.440033]",0.0003
./input/networks/large11SCC/19524598.bnet,!C8a,"[['NFkBnuc', '!TNF'], ['IAP', '!TNF'], ['CARP', '!TNF'], ['!IkB', '!TNF'], ['!C3a', '!TNF'], ['!C8a', '!TNF']]","[0.0, 0.0, 0.0, 0.004, 0.0, 0.0]",0.00025
./input/networks/large11SCC/19524598.bnet,T2,[[]],NA,0.00031
./input/networks/large11SCC/19524598.bnet,!T2,[['!TNF']],[0.0],0.0002
./input/networks/large11SCC/19524598.bnet,NFkB,[[]],NA,0.00029
./input/networks/large11SCC/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.00019
./input/networks/large11SCC/21639591.bnet,HOMER,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00095
./input/networks/large11SCC/21639591.bnet,!HOMER,[[]],NA,0.00099
./input/networks/large11SCC/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00089
./input/networks/large11SCC/21639591.bnet,!ATP_cyt,[[]],NA,0.00153
./input/networks/large11SCC/21639591.bnet,CaBP1,[[]],NA,0.00128
./input/networks/large11SCC/21639591.bnet,!CaBP1,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00098
