Network,Target,Controllers,Errors,Minutes
./input/networks/large11SCC/19524598.bnet,CARP,[['!TNF']],[0.017000000000000015],0.00593
./input/networks/large11SCC/19524598.bnet,!CARP,[],NA,0.07208
./input/networks/large11SCC/19524598.bnet,C8a,[],NA,0.07917
./input/networks/large11SCC/19524598.bnet,!C8a,[['!TNF']],[0.028],0.00521
./input/networks/large11SCC/19524598.bnet,T2,[],NA,0.07756
./input/networks/large11SCC/19524598.bnet,!T2,[['!TNF']],[0.0],0.00457
./input/networks/large11SCC/19524598.bnet,NFkB,[],NA,0.07941
./input/networks/large11SCC/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.00571
./input/networks/large11SCC/21639591.bnet,HOMER,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00984
./input/networks/large11SCC/21639591.bnet,!HOMER,[],NA,0.2046
./input/networks/large11SCC/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.01004
./input/networks/large11SCC/21639591.bnet,!ATP_cyt,[],NA,0.21643
./input/networks/large11SCC/21639591.bnet,CaBP1,[['0']],NA,0.00518
./input/networks/large11SCC/21639591.bnet,!CaBP1,[['1']],[0.0],0.00403
./input/networks/large11SCC/21639591.bnet,DAG,"[['PIP2', 'Serotonin']]",[0.0],0.22217
./input/networks/large11SCC/21639591.bnet,!DAG,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.01104
./input/networks/large11SCC/23169817_high_dna_damage.bnet,pten,[],NA,0.74064
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!pten,[],NA,0.74081
./input/networks/large11SCC/23169817_high_dna_damage.bnet,arf,[],NA,0.75977
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!arf,[],NA,0.72613
./input/networks/large11SCC/23169817_high_dna_damage.bnet,bcl2,[],NA,0.7451
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!bcl2,[],NA,0.78151
./input/networks/large11SCC/23169817_high_dna_damage.bnet,e2f1,[],NA,0.71828
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!e2f1,[],NA,0.76894
./input/networks/large11SCC/23658556_model_10.bnet,IAA5,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.01306
./input/networks/large11SCC/23658556_model_10.bnet,!IAA5,[],NA,0.22714
./input/networks/large11SCC/23658556_model_10.bnet,ACR,[],NA,0.22126
./input/networks/large11SCC/23658556_model_10.bnet,!ACR,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.01449
./input/networks/large11SCC/23658556_model_10.bnet,JKD,[],NA,0.22726
./input/networks/large11SCC/23658556_model_10.bnet,!JKD,[],NA,0.22322
./input/networks/large11SCC/23658556_model_10.bnet,Auxin,[],NA,0.22741
./input/networks/large11SCC/23658556_model_10.bnet,!Auxin,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.01428
./input/networks/large11SCC/23935937.bnet,CMYC,[['0']],NA,0.0049
./input/networks/large11SCC/23935937.bnet,!CMYC,[['1']],[0.016],0.00461
./input/networks/large11SCC/23935937.bnet,EMT,[['0']],NA,0.00497
./input/networks/large11SCC/23935937.bnet,!EMT,[['1']],[0.0225],0.00439
./input/networks/large11SCC/23935937.bnet,NOTCH_SIGNAL,[['0']],NA,0.00522
./input/networks/large11SCC/23935937.bnet,!NOTCH_SIGNAL,[['1']],[0.0135],0.00434
./input/networks/large11SCC/23935937.bnet,WNT_SIGNAL,[['0']],NA,0.00469
./input/networks/large11SCC/23935937.bnet,!WNT_SIGNAL,[['1']],[0.0],0.00481
