Network,Target,Controllers,Errors,Minutes
./input/networks/large11SCC/19524598.bnet,CARP,[],NA,0.24421
./input/networks/large11SCC/19524598.bnet,!CARP,[],NA,0.25425
./input/networks/large11SCC/19524598.bnet,C8a,[],NA,0.26113
./input/networks/large11SCC/19524598.bnet,!C8a,[],NA,0.24463
./input/networks/large11SCC/19524598.bnet,T2,[],NA,0.25674
./input/networks/large11SCC/19524598.bnet,!T2,[['!TNF']],[0.0],0.23304
./input/networks/large11SCC/19524598.bnet,NFkB,[],NA,0.25431
./input/networks/large11SCC/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.2554
./input/networks/large11SCC/21639591.bnet,HOMER,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.52469
./input/networks/large11SCC/21639591.bnet,!HOMER,[],NA,0.51683
./input/networks/large11SCC/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.51159
./input/networks/large11SCC/21639591.bnet,!ATP_cyt,[],NA,0.50625
./input/networks/large11SCC/21639591.bnet,CaBP1,[['0']],NA,0.01038
./input/networks/large11SCC/21639591.bnet,!CaBP1,[['1']],[0.0],0.01115
./input/networks/large11SCC/21639591.bnet,DAG,[],NA,0.50597
./input/networks/large11SCC/21639591.bnet,!DAG,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.5281
./input/networks/large11SCC/23169817_high_dna_damage.bnet,pten,[],NA,0.36337
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!pten,[],NA,0.34613
./input/networks/large11SCC/23169817_high_dna_damage.bnet,arf,[],NA,0.35301
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!arf,[],NA,0.35387
./input/networks/large11SCC/23169817_high_dna_damage.bnet,bcl2,[],NA,0.35665
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!bcl2,[],NA,0.33507
./input/networks/large11SCC/23169817_high_dna_damage.bnet,e2f1,[],NA,0.34337
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!e2f1,[],NA,0.36908
./input/networks/large11SCC/23658556_model_10.bnet,IAA5,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.28777
./input/networks/large11SCC/23658556_model_10.bnet,!IAA5,[],NA,0.30334
./input/networks/large11SCC/23658556_model_10.bnet,ACR,[],NA,0.27906
./input/networks/large11SCC/23658556_model_10.bnet,!ACR,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.28046
./input/networks/large11SCC/23658556_model_10.bnet,JKD,[],NA,0.29045
./input/networks/large11SCC/23658556_model_10.bnet,!JKD,[],NA,0.29157
./input/networks/large11SCC/23658556_model_10.bnet,Auxin,[],NA,0.28896
./input/networks/large11SCC/23658556_model_10.bnet,!Auxin,"[['PHB'], ['!Auxin']]","[0.0, 0.0]",0.29915
./input/networks/large11SCC/23935937.bnet,CMYC,[],NA,1.41248
./input/networks/large11SCC/23935937.bnet,!CMYC,"[['!NUC_STK36'], ['!DYRK1'], ['NUC_SUFU'], ['NUMB'], ['ITCH']]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.32286
./input/networks/large11SCC/23935937.bnet,EMT,[],NA,1.36775
./input/networks/large11SCC/23935937.bnet,!EMT,"[['!NUC_STK36'], ['!DYRK1'], ['NUC_SUFU'], ['NUMB'], ['ITCH']]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.38653
./input/networks/large11SCC/23935937.bnet,NOTCH_SIGNAL,[],NA,1.38743
./input/networks/large11SCC/23935937.bnet,!NOTCH_SIGNAL,"[['!NUC_STK36'], ['!DYRK1'], ['NUC_SUFU'], ['NUMB'], ['ITCH']]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.37928
./input/networks/large11SCC/23935937.bnet,WNT_SIGNAL,[['0']],NA,0.0108
./input/networks/large11SCC/23935937.bnet,!WNT_SIGNAL,[['1']],[0.0],0.01066
./input/networks/large11SCC/25063553_OR_OR.bnet,pfk2,[],NA,1.16871
./input/networks/large11SCC/25063553_OR_OR.bnet,!pfk2,"[['!x5p'], ['gcg']]","[0.0, 0.0]",1.11888
./input/networks/large11SCC/25063553_OR_OR.bnet,lgk,[],NA,1.15051
./input/networks/large11SCC/25063553_OR_OR.bnet,!lgk,[],NA,1.15223
./input/networks/large11SCC/25063553_OR_OR.bnet,pepck_c,[],NA,1.1305
./input/networks/large11SCC/25063553_OR_OR.bnet,!pepck_c,[],NA,1.13204
./input/networks/large11SCC/25063553_OR_OR.bnet,fbp2,[],NA,1.11812
./input/networks/large11SCC/25063553_OR_OR.bnet,!fbp2,"[['x5p'], ['!gcg']]","[0.0, 0.0]",1.1455
./input/networks/large11SCC/25189528.bnet,NOTCH,[['1']],[0.0],0.00991
./input/networks/large11SCC/25189528.bnet,!NOTCH,[['0']],NA,0.01076
./input/networks/large11SCC/25189528.bnet,cMet,[['1']],[0.0],0.009
./input/networks/large11SCC/25189528.bnet,!cMet,[['0']],NA,0.01164
./input/networks/large11SCC/25189528.bnet,EGFR,[['EGF']],[0.0],1.46534
./input/networks/large11SCC/25189528.bnet,!EGFR,[['!EGF']],[0.0],1.45594
./input/networks/large11SCC/25189528.bnet,SNAI2,[['1']],[0.0],0.00912
./input/networks/large11SCC/25189528.bnet,!SNAI2,[['0']],NA,0.01044
./input/networks/large11SCC/25780058.bnet,ROCK,[],NA,0.71517
./input/networks/large11SCC/25780058.bnet,!ROCK,[],NA,0.65707
./input/networks/large11SCC/25780058.bnet,PTP_EGFR,[],NA,0.70126
./input/networks/large11SCC/25780058.bnet,!PTP_EGFR,[['!EGF']],[0.0],0.69389
./input/networks/large11SCC/25780058.bnet,Raf,[],NA,0.7585
./input/networks/large11SCC/25780058.bnet,!Raf,[['!EGF']],[0.0],0.70351
./input/networks/large11SCC/25780058.bnet,p190RhoGEF,[],NA,0.70624
./input/networks/large11SCC/25780058.bnet,!p190RhoGEF,[['EGF']],[0.0],0.725
./input/networks/large11SCC/25967891.bnet,FUL,[],NA,0.25972
./input/networks/large11SCC/25967891.bnet,!FUL,[],NA,0.28341
./input/networks/large11SCC/25967891.bnet,TFL1,[],NA,0.28262
./input/networks/large11SCC/25967891.bnet,!TFL1,"[['AP1'], ['!EMF1'], ['LFY'], ['!TFL1']]","[0.0, 0.0, 0.0, 0.0]",0.27312
./input/networks/large11SCC/25967891.bnet,FT,"[['AP1'], ['!EMF1'], ['LFY'], ['!TFL1']]","[0.0, 0.0, 0.0, 0.0]",0.28467
./input/networks/large11SCC/25967891.bnet,!FT,[],NA,0.27975
./input/networks/large11SCC/25967891.bnet,AP2,"[['AP1'], ['!EMF1'], ['LFY'], ['!TFL1']]","[0.0, 0.0, 0.0, 0.0]",0.28115
./input/networks/large11SCC/25967891.bnet,!AP2,[],NA,0.28816
./input/networks/large11SCC/25980672.bnet,Bcl_2_K,[['!UVB']],[0.0],1.30149
./input/networks/large11SCC/25980672.bnet,!Bcl_2_K,[],NA,1.25735
./input/networks/large11SCC/25980672.bnet,Bcl_2_M,[],NA,1.22928
./input/networks/large11SCC/25980672.bnet,!Bcl_2_M,[['!UVB']],[0.0],1.27764
./input/networks/large11SCC/25980672.bnet,JNK_K,[],NA,1.29045
./input/networks/large11SCC/25980672.bnet,!JNK_K,[['!UVB']],[0.0],1.24336
./input/networks/large11SCC/25980672.bnet,EGFR_K,[],NA,1.3115
./input/networks/large11SCC/25980672.bnet,!EGFR_K,[['!UVB']],[0.0],1.29488
./input/networks/large11SCC/26564978.bnet,P15,[['1']],[0.0],0.0126
./input/networks/large11SCC/26564978.bnet,!P15,[['0']],NA,0.01541
./input/networks/large11SCC/26564978.bnet,CDK_4,[['1']],[0.0],0.01257
./input/networks/large11SCC/26564978.bnet,!CDK_4,[['0']],NA,0.01526
./input/networks/large11SCC/26564978.bnet,P53,[['1']],[0.0],0.01257
./input/networks/large11SCC/26564978.bnet,!P53,[['0']],NA,0.01256
./input/networks/large11SCC/26564978.bnet,STAT3,[['1']],[0.0],0.0126
./input/networks/large11SCC/26564978.bnet,!STAT3,[['0']],NA,0.01537
./input/networks/large11SCC/26660865.bnet,IL6_DELTA4_T,[['!FACTOR14']],[0.0],17.25549
./input/networks/large11SCC/26660865.bnet,!IL6_DELTA4_T,[],NA,17.25023
