Network,Target,Controllers,Errors,Minutes
./input/networks/large11SCC/19524598.bnet,CARP,"[['!C3a', '!TNF'], ['!C8a', '!TNF'], ['!TNF', 'CARP'], ['!TNF', 'IAP'], ['!TNF', 'NFkBnuc']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.09618
./input/networks/large11SCC/19524598.bnet,!CARP,"[['!FLIP', '!NFkBnuc', 'IkB', 'TNF']]",[0.0],0.05583
./input/networks/large11SCC/19524598.bnet,C8a,"[['!FLIP', '!NFkBnuc', 'IkB', 'TNF']]",[0.0],0.04229
./input/networks/large11SCC/19524598.bnet,!C8a,"[['!C3a', '!TNF'], ['!C8a', '!TNF'], ['!TNF', 'CARP'], ['!TNF', 'IAP'], ['!TNF', 'NFkBnuc']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.07191
./input/networks/large11SCC/19524598.bnet,T2,[['0']],NA,0.22356
./input/networks/large11SCC/19524598.bnet,!T2,[['!TNF']],[0.0],0.13964
./input/networks/large11SCC/19524598.bnet,NFkB,[['0']],NA,0.17428
./input/networks/large11SCC/19524598.bnet,!NFkB,[['!TNF']],[0.0],0.11737
./input/networks/large11SCC/21639591.bnet,HOMER,[['1']],[0.11950000000000005],0.07689
./input/networks/large11SCC/21639591.bnet,!HOMER,[['0']],NA,0.07717
./input/networks/large11SCC/21639591.bnet,ATP_cyt,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.19359
./input/networks/large11SCC/21639591.bnet,!ATP_cyt,[['0']],NA,0.14282
./input/networks/large11SCC/21639591.bnet,CaBP1,[['0']],NA,0.06439
./input/networks/large11SCC/21639591.bnet,!CaBP1,[['!PIP2']],[0.0],0.04044
./input/networks/large11SCC/21639591.bnet,DAG,"[['PIP2', 'Serotonin']]",[0.0],0.00314
./input/networks/large11SCC/21639591.bnet,!DAG,"[['!PIP2'], ['!Serotonin']]","[0.0, 0.0]",0.00325
./input/networks/large11SCC/23169817_high_dna_damage.bnet,pten,[['0']],NA,33.67672
